date,cash,position_value,equity,open_positions,portfolio_heat
2018-10-30,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-10-31,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-01,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-02,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-05,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-06,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-07,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-08,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-09,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-12,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-13,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-14,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-15,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-16,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-19,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-20,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-21,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-23,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-26,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-27,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-28,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-29,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-11-30,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-03,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-04,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-06,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-07,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-10,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-11,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-12,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-13,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-14,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-17,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-18,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-19,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-20,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-21,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-24,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-26,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-27,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-28,113968.95608414109,0.0,113968.95608414109,0,0.0
2018-12-31,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-02,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-03,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-04,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-07,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-08,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-09,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-10,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-11,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-14,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-15,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-16,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-17,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-18,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-22,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-23,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-24,113968.95608414109,0.0,113968.95608414109,0,0.0
2019-01-25,98833.58169806439,15196.130881795669,114029.71257986006,1,0.009994671871537304
2019-01-28,98833.58169806439,14904.881983937163,113738.46368200154,1,0.010020265123571914
2019-01-29,98833.58169806439,14773.114303681032,113606.69600174541,1,0.010031887212210634
2019-01-30,98833.58169806439,15169.248182383872,114002.82988044826,1,0.009997028688117419
2019-01-31,98833.58169806439,15549.644382534903,114383.22608059928,1,0.009963782277292452
2019-02-01,98833.58169806439,15471.36336837597,114304.94506644036,1,0.009970605910172655
2019-02-04,98833.58169806439,15778.492527296325,114612.07422536072,1,0.009943887400558245
2019-02-05,98833.58169806439,15962.213843654486,114795.79554171888,1,0.009927973019074788
2019-02-06,98833.58169806439,15533.767337619896,114367.34903568428,1,0.009965165499165422
2019-02-07,98833.58169806439,15303.660607393907,114137.24230545829,1,0.009985255801006053
2019-02-08,98833.58169806439,15252.820830148508,114086.4025282129,1,0.009989705482733337
2019-02-11,98833.58169806439,15252.123998332523,114085.70569639691,1,0.009989766499532683
2019-02-12,98833.58169806439,15619.287898322451,114452.86959638684,1,0.009957719407652053
2019-02-13,98833.58169806439,15602.434216816115,114436.0159148805,1,0.00995918594098148
2019-02-14,98833.58169806439,15623.465673071525,114457.04737113591,1,0.009957355942844467
2019-02-15,98833.58169806439,15511.757100675264,114345.33879873966,1,0.009967083685390881
2019-02-19,98833.58169806439,15580.147391242985,114413.72908930737,1,0.00996112590606857
2019-02-20,98833.58169806439,15513.845452025325,114347.42715008972,1,0.009966901654424471
2019-02-21,98833.58169806439,15279.423724784963,114113.00542284935,1,0.009987376606358365
2019-02-22,98833.58169806439,15466.071734770267,114299.65343283466,1,0.009971067510813766
2019-02-25,98833.58169806439,15452.560701882769,114286.14239994716,1,0.00997224630133231
2019-02-26,98833.58169806439,15532.370457841078,114365.95215590547,1,0.00996528721492012
2019-02-27,98833.58169806439,15545.187875059435,114378.76957312382,1,0.009964170493308137
2019-02-28,98833.58169806439,15599.089424099382,114432.67112216377,1,0.009959477041523602
2019-03-01,98833.58169806439,15892.570327866939,114726.15202593133,1,0.009933999709009756
2019-03-04,98833.58169806439,15987.424146707917,114821.0058447723,1,0.009925793215765493
2019-03-05,98833.58169806439,16185.630988447008,115019.2126865114,1,0.009908688594032301
2019-03-06,98833.58169806439,16127.547376462195,114961.12907452659,1,0.009913694915979617
2019-03-07,98833.58169806439,15924.745732933387,114758.32743099777,1,0.009931214460464202
2019-03-08,98833.58169806439,15911.094261633745,114744.67595969813,1,0.00993239600277145
2019-03-11,98833.58169806439,16376.871656124133,115210.45335418852,1,0.009892240917911266
2019-03-12,98833.58169806439,16619.788299225842,115453.36999729023,1,0.009871427407170187
2019-03-13,98833.58169806439,16621.460695584206,115455.04239364859,1,0.009871284416973264
