symbol,framework,objective,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,total_buys,excess_final_equity_vs_plain_dca,excess_irr_vs_plain_dca,beat_plain_dca,sortino
WMT,C_60pct_dca_40pct_tactical_reserve,irr,719214.2825388118,420000.0,299214.2825388118,,33.11313889438507,-17.77127056537622,2.039427557014116,,,4.386869738677722,,,,,,,61.0,-6542.297588050715,-0.596522520862905,False,9.46884006544055
WMT,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,718538.4421419379,420000.0,298538.4421419379,,33.05128674113863,-17.537827307157183,2.03890048787272,,,4.405685526522272,,,,,,,63.0,-7218.1379849246005,-0.6583746741093393,False,9.47125891516766
WMT,C_60pct_dca_40pct_tactical_reserve,plateau,718095.5474096691,420000.0,298095.54740966915,,33.01073005953285,-17.77127056537622,2.038556330011009,,,4.305858450154229,,,,,,,63.0,-7661.03271719336,-0.6989313557151249,False,9.437579061590396
AMD,A_100pct_monthly_dca,baseline,1606488.2860380812,420000.0,1186488.2860380812,282.49721096144793,92.06237251752547,-42.4193314721739,2.113214475075514,0.0,1606488.2860380812,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
AMD,B_entry_timing_only_no_sell,final_equity,1186550.895194031,420000.0,766550.8951940311,,68.3180421470819,-28.286331036626468,2.046899195133824,,,37.949533216707934,,,,,,,9.0,-419937.3908440501,-23.744330370443578,False,5.085884651501449
AMD,B_entry_timing_only_no_sell,irr,1186550.895194031,420000.0,766550.8951940311,,68.3180421470819,-28.286331036626468,2.046899195133824,,,37.949533216707934,,,,,,,9.0,-419937.3908440501,-23.744330370443578,False,5.085884651501449
AMD,B_entry_timing_only_no_sell,risk_adjusted,1257205.5223179301,420000.0,837205.5223179301,,72.69867225764494,-36.24088457388209,2.040347137243704,,,33.29760270640677,,,,,,,13.0,-349282.76372015104,-19.36370025988053,False,4.869228769261422
AMD,B_entry_timing_only_no_sell,plateau,1426328.7917302265,420000.0,1006328.7917302265,,82.50286072853638,-37.72085665181897,2.0795954273879222,,,17.02055108945732,,,,,,,14.0,-180159.49430785468,-9.559511788989099,False,5.433773653277642
AMD,C_60pct_dca_40pct_tactical_reserve,final_equity,1438513.329700461,420000.0,1018513.3297004609,,83.17602528058308,-37.891475018872136,2.1060002459752902,,,13.33192486233504,,,,,,,51.0,-167974.95633762027,-8.886347236942399,False,5.502809293018809
AMD,C_60pct_dca_40pct_tactical_reserve,irr,1438513.329700461,420000.0,1018513.3297004609,,83.17602528058308,-37.891475018872136,2.1060002459752902,,,13.33192486233504,,,,,,,51.0,-167974.95633762027,-8.886347236942399,False,5.502809293018809
AMD,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,1433594.497561832,420000.0,1013594.497561832,,82.90476994094695,-39.28629795249524,2.1138660921392534,,,15.239352408431674,,,,,,,47.0,-172893.7884762492,-9.157602576578526,False,5.601244415687402
AMD,C_60pct_dca_40pct_tactical_reserve,plateau,1534424.488314939,420000.0,1114424.488314939,,88.33620405734548,-40.5996119223357,2.1067725325219113,,,6.408309434024508,,,,,,,56.0,-72063.7977231422,-3.7261684601799914,False,5.415637147393129
ASML,A_100pct_monthly_dca,baseline,990733.4092030849,420000.0,570733.4092030849,135.88890695311545,55.09187515800325,-30.318952449809235,2.141240580779249,0.0,990733.4092030849,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
ASML,B_entry_timing_only_no_sell,final_equity,942944.3510682799,420000.0,522944.35106827994,,51.57705897284782,-29.66400379789925,2.042692398928407,,,11.411942082530564,,,,,,,17.0,-47789.058134804945,-3.514816185155425,False,5.66192427313351
ASML,B_entry_timing_only_no_sell,irr,942944.3510682799,420000.0,522944.35106827994,,51.57705897284782,-29.66400379789925,2.042692398928407,,,11.411942082530564,,,,,,,17.0,-47789.058134804945,-3.514816185155425,False,5.66192427313351
ASML,B_entry_timing_only_no_sell,risk_adjusted,956976.7571917735,420000.0,536976.7571917735,,52.622415385591616,-26.36377812306422,2.0351072140074797,,,17.22870167574587,,,,,,,16.0,-33756.65201131138,-2.469459772411632,False,5.7515439578570025
ASML,B_entry_timing_only_no_sell,plateau,940930.9616186831,420000.0,520930.96161868307,,51.42613492682246,-27.440787847615024,2.0302277061803005,,,18.288770991545462,,,,,,,19.0,-49802.447584401816,-3.6657402311807843,False,5.693418791831156
